1000mA,,1500mA,,2000mA,,,1A,41min 10s,,1000mA,,,1500mA,,,2000mA,,,,
In,Out,In,Out,In,Out,,1.5A,17min 26s,,In,Out,Diff,In,Out,,In,Out,,,
27.6,26.55,39.69,37.82,51.64,48.55,,,,,29.14,28.09,1.05,39.37,37.5,1.87,55.4,52.33,3.07,0.98,
27.62,26.56,39.73,37.89,51.7,48.41,,,,,29.16,28.1,1.06,39.41,37.57,1.84,55.46,52.19,3.27,0.95,
27.63,26.56,39.83,37.89,51.79,48.52,,,,,29.17,28.1,1.07,39.51,37.57,1.94,55.55,52.3,3.25,1.05,
27.66,26.63,39.84,37.89,51.92,48.49,,,,,29.2,28.17,1.03,39.52,37.57,1.95,55.68,52.27,3.41,1.06,
27.7,26.65,39.9,37.96,51.94,48.28,,,,,29.24,28.19,1.05,39.58,37.64,1.94,55.7,52.06,3.64,1.05,
27.71,26.65,39.94,38.09,52.06,48.55,,,,,29.25,28.19,1.06,39.62,37.77,1.85,55.82,52.33,3.49,0.96,
27.72,26.65,40.02,38.09,52.17,48.65,,,,,29.26,28.19,1.07,39.7,37.77,1.93,55.93,52.43,3.5,1.04,
27.77,26.69,40.05,38.1,52.2,48.79,,,,,29.31,28.23,1.08,39.73,37.78,1.95,55.96,52.57,3.39,1.06,
27.8,26.69,40.12,38.2,52.34,48.89,,,,,29.34,28.23,1.11,39.8,37.88,1.92,56.1,52.67,3.43,1.03,
27.8,26.65,40.15,38.31,52.41,49.04,,,,,29.34,28.19,1.15,39.83,37.99,1.84,56.17,52.82,3.35,0.95,
27.81,26.71,40.2,38.22,52.49,49.27,,,,,29.35,28.25,1.1,39.88,37.9,1.98,56.25,53.05,3.2,1.09,
27.86,26.67,40.26,38.22,52.62,49.46,,,,,29.4,28.21,1.19,39.94,37.9,2.04,56.38,53.24,3.14,1.15,
27.88,26.73,40.29,38.21,52.67,49.58,,,,,29.42,28.27,1.15,39.97,37.89,2.08,56.43,53.36,3.07,1.19,
27.89,26.74,40.36,38.2,52.77,49.56,,,,,29.43,28.28,1.15,40.04,37.88,2.16,56.53,53.34,3.19,1.27,
27.91,26.69,40.39,38.21,52.9,49.56,,,,,29.45,28.23,1.22,40.07,37.89,2.18,56.66,53.34,3.32,1.29,
27.95,26.74,40.47,38.3,52.92,49.69,,,,,29.49,28.28,1.21,40.15,37.98,2.17,56.68,53.47,3.21,1.28,
27.98,26.82,40.51,38.42,53.06,49.83,,,,,29.52,28.36,1.16,40.19,38.1,2.09,56.82,53.61,3.21,1.2,
27.98,26.76,40.58,38.54,53.15,49.68,,,,,29.52,28.3,1.22,40.26,38.22,2.04,56.91,53.46,3.45,1.15,
28,26.81,40.59,38.63,53.21,49.62,,,,,29.54,28.35,1.19,40.27,38.31,1.96,56.97,53.4,3.57,1.07,
28.05,26.83,40.67,38.67,53.34,49.87,,,,,29.59,28.37,1.22,40.35,38.35,2,57.1,53.65,3.45,1.11,
28.07,26.83,40.7,38.7,53.39,50.07,,,,,29.61,28.37,1.24,40.38,38.38,2,57.15,53.85,3.3,1.11,
28.08,26.83,40.77,38.64,53.49,50.1,,,,,29.62,28.37,1.25,40.45,38.32,2.13,57.25,53.88,3.37,1.24,
28.1,26.85,40.81,38.53,53.61,50.1,,,,,29.64,28.39,1.25,40.49,38.21,2.28,57.37,53.88,3.49,1.39,
28.14,26.92,40.84,38.59,53.65,50.18,,,,,29.68,28.46,1.22,40.52,38.27,2.25,57.41,53.96,3.45,1.36,
28.16,26.92,40.91,38.63,53.78,50.26,,,,,29.7,28.46,1.24,40.59,38.31,2.28,57.54,54.04,3.5,1.39,
28.17,26.92,40.97,38.84,53.86,50.37,,,,,29.71,28.46,1.25,40.65,38.52,2.13,57.62,54.15,3.47,1.24,
28.18,26.96,41.02,39.06,53.93,50.02,,,,,29.72,28.5,1.22,40.7,38.74,1.96,57.69,53.8,3.89,1.07,
28.24,27.01,41.03,39.26,54.06,49.94,,,,,29.78,28.55,1.23,40.71,38.94,1.77,57.82,53.72,4.1,0.88,
28.25,27.01,41.13,39.42,54.1,49.94,,,,,29.79,28.55,1.24,40.81,39.1,1.71,57.86,53.72,4.14,0.82,
28.26,27.07,41.14,39.59,54.22,49.9,,,,,29.8,28.61,1.19,40.82,39.27,1.55,57.98,53.68,4.3,0.66,
28.28,27.11,41.18,39.71,54.3,49.99,,,,,29.82,28.65,1.17,40.86,39.39,1.47,58.06,53.77,4.29,0.58,
28.33,27.11,41.24,39.81,54.37,49.71,,,,,29.87,28.65,1.22,40.92,39.49,1.43,58.13,53.49,4.64,0.54,
28.34,27.05,41.31,39.81,54.48,49.64,,,,,29.88,28.59,1.29,40.99,39.49,1.5,58.24,53.42,4.82,0.61,
28.35,27.1,41.35,39.82,54.52,49.77,,,,,29.89,28.64,1.25,41.03,39.5,1.53,58.28,53.55,4.73,0.64,
28.38,27.11,41.37,39.72,54.67,49.96,,,,,29.92,28.65,1.27,41.05,39.4,1.65,58.43,53.74,4.69,0.76,
28.42,27.11,41.45,39.6,54.7,50.09,,,,,29.96,28.65,1.31,41.13,39.28,1.85,58.46,53.87,4.59,0.96,
28.43,27.14,41.49,39.54,54.82,50.19,,,,,29.97,28.68,1.29,41.17,39.22,1.95,58.58,53.97,4.61,1.06,
28.44,27.15,41.56,39.46,54.89,50.47,,,,,29.98,28.69,1.29,41.24,39.14,2.1,58.65,54.25,4.4,1.21,
28.48,27.2,41.58,39.53,54.97,50.63,,,,,30.02,28.74,1.28,41.26,39.21,2.05,58.73,54.41,4.32,1.16,
28.52,27.12,41.66,39.71,55.07,50.67,,,,,30.06,28.66,1.4,41.34,39.39,1.95,58.83,54.45,4.38,1.06,
28.52,27.12,41.67,39.81,55.12,50.69,,,,,30.06,28.66,1.4,41.35,39.49,1.86,58.88,54.47,4.41,0.97,
28.54,27.18,41.72,39.89,55.25,50.67,,,,,30.08,28.72,1.36,41.4,39.57,1.83,59.01,54.45,4.56,0.94,
28.58,27.2,41.79,39.83,55.28,50.52,,,,,30.12,28.74,1.38,41.47,39.51,1.96,59.04,54.3,4.74,1.07,
28.61,27.2,41.83,39.82,55.42,50.7,,,,,30.15,28.74,1.41,41.51,39.5,2.01,59.18,54.48,4.7,1.12,
28.61,27.25,41.89,39.93,55.45,50.79,,,,,30.15,28.79,1.36,41.57,39.61,1.96,59.21,54.57,4.64,1.07,
28.62,27.29,41.91,40.01,55.57,50.62,,,,,30.16,28.83,1.33,41.59,39.69,1.9,59.33,54.4,4.93,1.01,
28.66,27.29,41.97,39.93,55.63,50.68,,,,,30.2,28.83,1.37,41.65,39.61,2.04,59.39,54.46,4.93,1.15,
28.69,27.38,42.01,39.93,55.73,50.65,,,,,30.23,28.92,1.31,41.69,39.61,2.08,59.49,54.43,5.06,1.19,
28.7,27.44,42.05,39.91,55.82,50.53,,,,,30.24,28.98,1.26,41.73,39.59,2.14,59.58,54.31,5.27,1.25,
28.71,27.47,42.11,39.92,55.88,50.53,,,,,30.25,29.01,1.24,41.79,39.6,2.19,59.64,54.31,5.33,1.3,
28.75,27.51,42.15,39.93,55.99,50.83,,,,,30.29,29.05,1.24,41.83,39.61,2.22,59.75,54.61,5.14,1.33,
28.78,27.47,42.23,39.88,56.03,50.33,,,,,30.32,29.01,1.31,41.91,39.56,2.35,59.79,54.11,5.68,1.46,
28.8,27.47,42.24,39.82,56.17,50.03,,,,,30.34,29.01,1.33,41.92,39.5,2.42,59.93,53.81,6.12,1.53,
28.8,27.47,42.32,39.93,56.2,50.19,,,,,30.34,29.01,1.33,42,39.61,2.39,59.96,53.97,5.99,1.5,
28.85,27.47,42.35,39.93,56.34,50.31,,,,,30.39,29.01,1.38,42.03,39.61,2.42,60.1,54.09,6.01,1.53,
28.88,27.47,42.38,39.93,56.36,50.55,,,,,30.42,29.01,1.41,42.06,39.61,2.45,60.12,54.33,5.79,1.56,
28.89,27.47,42.46,40.04,56.5,50.32,,,,,30.43,29.01,1.42,42.14,39.72,2.42,60.26,54.1,6.16,1.53,
28.9,27.56,42.47,40.15,56.51,50.23,,,,,30.44,29.1,1.34,42.15,39.83,2.32,60.27,54.01,6.26,1.43,
28.94,27.63,42.53,40.1,56.66,50.14,,,,,30.48,29.17,1.31,42.21,39.78,2.43,60.42,53.92,6.5,1.54,
28.98,27.66,42.57,40.23,56.67,50.43,,,,,30.52,29.2,1.32,42.25,39.91,2.34,60.43,54.21,6.22,1.45,
28.98,27.74,42.62,40.32,56.82,50.73,,,,,30.52,29.28,1.24,42.3,40,2.3,60.58,54.51,6.07,1.41,
28.99,27.76,42.69,40.41,56.84,51.1,,,,,30.53,29.3,1.23,42.37,40.09,2.28,60.6,54.88,5.72,1.39,
29.01,27.75,42.7,40.55,56.97,51.53,,,,,30.55,29.29,1.26,42.38,40.23,2.15,60.73,55.31,5.42,1.26,
29.05,27.67,42.79,40.68,57,51.95,,,,,30.59,29.21,1.38,42.47,40.36,2.11,60.76,55.73,5.03,1.22,
29.07,27.67,42.8,40.62,57.13,52.06,,,,,30.61,29.21,1.4,42.48,40.3,2.18,60.89,55.84,5.05,1.29,
29.09,27.74,42.88,40.69,57.17,52.05,,,,,30.63,29.28,1.35,42.56,40.37,2.19,60.93,55.83,5.1,1.3,
29.11,27.75,42.91,40.75,57.29,52.29,,,,,30.65,29.29,1.36,42.59,40.43,2.16,61.05,56.07,4.98,1.27,
29.15,27.75,42.96,40.81,57.36,52.58,,,,,30.69,29.29,1.4,42.64,40.49,2.15,61.12,56.36,4.76,1.26,
29.16,27.76,43.02,40.89,57.45,52.79,,,,,30.7,29.3,1.4,42.7,40.57,2.13,61.21,56.57,4.64,1.24,
29.16,27.82,43.03,40.92,57.55,52.91,,,,,30.7,29.36,1.34,42.71,40.6,2.11,61.31,56.69,4.62,1.22,
29.21,27.84,43.12,40.8,57.61,53.1,,,,,30.75,29.38,1.37,42.8,40.48,2.32,61.37,56.88,4.49,1.43,
29.24,27.84,43.15,40.69,57.74,53.08,,,,,30.78,29.38,1.4,42.83,40.37,2.46,61.5,56.86,4.64,1.57,
29.25,27.84,43.19,40.67,57.78,53.21,,,,,30.79,29.38,1.41,42.87,40.35,2.52,61.54,56.99,4.55,1.63,
29.25,27.93,43.26,40.84,57.9,53.25,,,,,30.79,29.47,1.32,42.94,40.52,2.42,61.66,57.03,4.63,1.53,
29.27,27.93,43.29,41.03,57.94,53.21,,,,,30.81,29.47,1.34,42.97,40.71,2.26,61.7,56.99,4.71,1.37,
29.32,28.01,43.36,40.67,58.09,53.36,,,,,30.86,29.55,1.31,43.04,40.35,2.69,61.85,57.14,4.71,1.8,
29.34,28.02,43.39,40.22,58.1,53.6,,,,,30.88,29.56,1.32,43.07,39.9,3.17,61.86,57.38,4.48,2.28,
29.34,28.03,43.45,39.77,58.24,53.87,,,,,30.88,29.57,1.31,43.13,39.45,3.68,62,57.65,4.35,2.79,
29.36,28.08,43.49,39.5,58.27,53.95,,,,,30.9,29.62,1.28,43.17,39.18,3.99,62.03,57.73,4.3,3.1,
29.4,28.11,43.54,39.73,58.41,53.81,,,,,30.94,29.65,1.29,43.22,39.41,3.81,62.17,57.59,4.58,2.92,
29.43,28.05,43.59,40.02,58.43,53.76,,,,,30.97,29.59,1.38,43.27,39.7,3.57,62.19,57.54,4.65,2.68,
29.43,28.02,43.61,40.23,58.59,53.1,,,,,30.97,29.56,1.41,43.29,39.91,3.38,62.35,56.88,5.47,2.49,
29.44,28.02,43.69,40.46,58.6,52.49,,,,,30.98,29.56,1.42,43.37,40.14,3.23,62.36,56.27,6.09,2.34,
29.49,28.03,43.72,40.7,58.75,52.6,,,,,31.03,29.57,1.46,43.4,40.38,3.02,62.51,56.38,6.13,2.13,
29.51,28.11,43.77,40.81,58.77,52.77,,,,,31.05,29.65,1.4,43.45,40.49,2.96,62.53,56.55,5.98,2.07,
29.53,28.11,43.83,40.8,58.91,52.26,,,,,31.07,29.65,1.42,43.51,40.48,3.03,62.67,56.04,6.63,2.14,
29.54,28.14,43.84,40.81,58.93,52.19,,,,,31.08,29.68,1.4,43.52,40.49,3.03,62.69,55.97,6.72,2.14,
29.57,28.21,43.92,40.64,59.08,52.24,,,,,31.11,29.75,1.36,43.6,40.32,3.28,62.84,56.02,6.82,2.39,
29.6,28.21,43.95,40.58,59.1,52.39,,,,,31.14,29.75,1.39,43.63,40.26,3.37,62.86,56.17,6.69,2.48,
29.62,28.23,43.97,40.61,59.23,52.59,,,,,31.16,29.77,1.39,43.65,40.29,3.36,62.99,56.37,6.62,2.47,
29.62,28.22,44.06,40.78,59.27,52.48,,,,,31.16,29.76,1.4,43.74,40.46,3.28,63.03,56.26,6.77,2.39,
29.65,28.3,44.06,41.01,59.35,51.56,,,,,31.19,29.84,1.35,43.74,40.69,3.05,63.11,55.34,7.77,2.16,
29.69,28.31,44.13,41.06,59.43,51.55,,,,,31.23,29.85,1.38,43.81,40.74,3.07,63.19,55.33,7.86,2.18,
29.71,28.31,44.18,41.16,59.46,52.01,,,,,31.25,29.85,1.4,43.86,40.84,3.02,63.22,55.79,7.43,2.13,
29.71,28.39,44.18,41.25,59.6,52.41,,,,,31.25,29.93,1.32,43.86,40.93,2.93,63.36,56.19,7.17,2.04,
29.73,28.39,44.27,41.09,59.6,52.7,,,,,31.27,29.93,1.34,43.95,40.77,3.18,63.36,56.48,6.88,2.29,
29.78,28.39,44.3,40.86,59.76,52.78,,,,,31.32,29.93,1.39,43.98,40.54,3.44,63.52,56.56,6.96,2.55,
29.8,28.43,44.34,40.9,59.78,53.05,,,,,31.34,29.97,1.37,44.02,40.58,3.44,63.54,56.83,6.71,2.55,
29.8,28.48,44.41,40.93,59.93,53.29,,,,,31.34,30.02,1.32,44.09,40.61,3.48,63.69,57.07,6.62,2.59,
29.83,28.46,44.42,40.98,59.95,53.43,,,,,31.37,30,1.37,44.1,40.66,3.44,63.71,57.21,6.5,2.55,
29.87,28.48,44.5,41.14,60.07,53.65,,,,,31.41,30.02,1.39,44.18,40.82,3.36,63.83,57.43,6.4,2.47,
29.89,28.48,44.53,41.14,60.12,53.76,,,,,31.43,30.02,1.41,44.21,40.82,3.39,63.88,57.54,6.34,2.5,
29.9,28.41,44.54,41.25,60.24,54.13,,,,,31.44,29.95,1.49,44.22,40.93,3.29,64,57.91,6.09,2.4,
29.91,28.46,44.63,41.28,60.29,54.51,,,,,31.45,30,1.45,44.31,40.96,3.35,64.05,58.29,5.76,2.46,
29.95,28.48,44.65,41.25,60.39,54.7,,,,,31.49,30.02,1.47,44.33,40.93,3.4,64.15,58.48,5.67,2.51,
29.98,28.51,44.68,41.33,60.47,54.71,,,,,31.52,30.05,1.47,44.36,41.01,3.35,64.23,58.49,5.74,2.46,
29.99,28.57,44.75,41.37,60.51,54.71,,,,,31.53,30.11,1.42,44.43,41.05,3.38,64.27,58.49,5.78,2.49,
30.02,28.58,44.77,41.51,60.64,54.71,,,,,31.56,30.12,1.44,44.45,41.19,3.26,64.4,58.49,5.91,2.37,
30.04,28.58,44.82,41.6,60.67,54.82,,,,,31.58,30.12,1.46,44.5,41.28,3.22,64.43,58.6,5.83,2.33,
30.07,28.49,44.88,41.62,60.81,54.84,,,,,31.61,30.03,1.58,44.56,41.3,3.26,64.57,58.62,5.95,2.37,
30.08,28.42,44.9,41.73,60.82,54.49,,,,,31.62,29.96,1.66,44.58,41.41,3.17,64.58,58.27,6.31,2.28,
30.09,28.34,44.99,41.82,60.99,54.17,,,,,31.63,29.88,1.75,44.67,41.5,3.17,64.75,57.95,6.8,2.28,
30.12,28.39,45,42.03,60.99,54.08,,,,,31.66,29.93,1.73,44.68,41.71,2.97,64.75,57.86,6.89,2.08,
30.16,28.3,45.04,42.19,61.16,53.81,,,,,31.7,29.84,1.86,44.72,41.87,2.85,64.92,57.59,7.33,1.96,
30.17,28.39,45.12,42.34,61.18,53.95,,,,,31.71,29.93,1.78,44.8,42.02,2.78,64.94,57.73,7.21,1.89,
30.17,28.46,45.13,42.5,,,,,,,31.71,30,1.71,44.81,42.18,2.63,,,,1.74,
30.2,28.57,45.22,42.69,,,,,,,31.74,30.11,1.63,44.9,42.37,2.53,,,,1.64,
30.24,28.66,45.24,42.73,,,,,,,31.78,30.2,1.58,44.92,42.41,2.51,,,,1.62,
30.26,28.67,45.28,42.73,,,,,,,31.8,30.21,1.59,44.96,42.41,2.55,,,,1.66,
30.27,28.69,45.36,42.75,,,,,,,31.81,30.23,1.58,45.04,42.43,2.61,,,,1.72,
30.29,28.76,45.36,42.85,,,,,,,31.83,30.3,1.53,45.04,42.53,2.51,,,,1.62,
30.33,28.76,45.42,42.85,,,,,,,31.87,30.3,1.57,45.1,42.53,2.57,,,,1.68,
30.34,28.76,45.48,42.85,,,,,,,31.88,30.3,1.58,45.16,42.53,2.63,,,,1.74,
30.36,28.76,45.5,42.76,,,,,,,31.9,30.3,1.6,45.18,42.44,2.74,,,,1.85,
30.37,28.76,45.58,42.66,,,,,,,31.91,30.3,1.61,45.26,42.34,2.92,,,,2.03,
30.41,28.76,45.6,42.73,,,,,,,31.95,30.3,1.65,45.28,42.41,2.87,,,,1.98,
30.44,28.83,45.65,42.92,,,,,,,31.98,30.37,1.61,45.33,42.6,2.73,,,,1.84,
30.44,28.85,45.71,43.08,,,,,,,31.98,30.39,1.59,45.39,42.76,2.63,,,,1.74,
30.45,28.94,45.73,43.2,,,,,,,31.99,30.48,1.51,45.41,42.88,2.53,,,,1.64,
30.49,29.03,45.78,43.31,,,,,,,32.03,30.57,1.46,45.46,42.99,2.47,,,,1.58,
30.53,29.04,45.84,43.43,,,,,,,32.07,30.58,1.49,45.52,43.11,2.41,,,,1.52,
30.54,29.04,45.84,43.55,,,,,,,32.08,30.58,1.5,45.52,43.23,2.29,,,,1.4,
30.54,29.12,45.95,43.55,,,,,,,32.08,30.66,1.42,45.63,43.23,2.4,,,,1.51,
30.56,29.13,45.97,43.34,,,,,,,32.1,30.67,1.43,45.65,43.02,2.63,,,,1.74,
30.61,29.13,46.02,43.06,,,,,,,32.15,30.67,1.48,45.7,42.74,2.96,,,,2.07,
30.63,29.13,46.07,42.97,,,,,,,32.17,30.67,1.5,45.75,42.65,3.1,,,,2.21,
30.64,29.2,46.08,43.08,,,,,,,32.18,30.74,1.44,45.76,42.76,3,,,,2.11,
30.65,29.23,46.16,43.1,,,,,,,32.19,30.77,1.42,45.84,42.78,3.06,,,,2.17,
30.68,29.22,46.2,42.97,,,,,,,32.22,30.76,1.46,45.88,42.65,3.23,,,,2.34,
30.72,29.23,46.23,42.97,,,,,,,32.26,30.77,1.49,45.91,42.65,3.26,,,,2.37,
30.72,29.23,46.31,43.02,,,,,,,32.26,30.77,1.49,45.99,42.7,3.29,,,,2.4,
30.73,29.29,46.33,43.2,,,,,,,32.27,30.83,1.44,46.01,42.88,3.13,,,,2.24,
30.75,29.32,46.37,43.29,,,,,,,32.29,30.86,1.43,46.05,42.97,3.08,,,,2.19,
30.79,29.38,46.44,43.33,,,,,,,32.33,30.92,1.41,46.12,43.01,3.11,,,,2.22,
30.82,29.4,46.46,43.48,,,,,,,32.36,30.94,1.42,46.14,43.16,2.98,,,,2.09,
30.82,29.42,46.51,43.34,,,,,,,32.36,30.96,1.4,46.19,43.02,3.17,,,,2.28,
30.83,29.49,46.57,43.09,,,,,,,32.37,31.03,1.34,46.25,42.77,3.48,,,,2.59,
30.86,29.51,46.57,42.98,,,,,,,32.4,31.05,1.35,46.25,42.66,3.59,,,,2.7,
30.91,29.51,46.64,42.97,,,,,,,32.45,31.05,1.4,46.32,42.65,3.67,,,,2.78,
30.91,29.51,46.69,43.11,,,,,,,32.45,31.05,1.4,46.37,42.79,3.58,,,,2.69,
30.92,29.51,46.7,43.29,,,,,,,32.46,31.05,1.41,46.38,42.97,3.41,,,,2.52,
30.95,29.51,46.75,43.35,,,,,,,32.49,31.05,1.44,46.43,43.03,3.4,,,,2.51,
30.98,29.58,46.81,43.31,,,,,,,32.52,31.12,1.4,46.49,42.99,3.5,,,,2.61,
31,29.6,46.82,43.31,,,,,,,32.54,31.14,1.4,46.5,42.99,3.51,,,,2.62,
31.01,29.62,46.86,43.33,,,,,,,32.55,31.16,1.39,46.54,43.01,3.53,,,,2.64,
31.02,29.62,46.94,43.46,,,,,,,32.56,31.16,1.4,46.62,43.14,3.48,,,,2.59,
31.06,29.6,46.94,43.58,,,,,,,32.6,31.14,1.46,46.62,43.26,3.36,,,,2.47,
31.09,29.6,46.98,43.59,,,,,,,32.63,31.14,1.49,46.66,43.27,3.39,,,,2.5,
31.09,29.6,47.05,43.66,,,,,,,32.63,31.14,1.49,46.73,43.34,3.39,,,,2.5,
31.1,29.61,47.07,43.71,,,,,,,32.64,31.15,1.49,46.75,43.39,3.36,,,,2.47,
31.12,29.6,47.11,43.79,,,,,,,32.66,31.14,1.52,46.79,43.47,3.32,,,,2.43,
31.18,29.6,47.17,43.91,,,,,,,32.72,31.14,1.58,46.85,43.59,3.26,,,,2.37,
31.19,29.6,47.19,44.02,,,,,,,32.73,31.14,1.59,46.87,43.7,3.17,,,,2.28,
31.19,29.51,47.27,44.03,,,,,,,32.73,31.05,1.68,46.95,43.71,3.24,,,,2.35,
31.21,29.51,47.31,44.05,,,,,,,32.75,31.05,1.7,46.99,43.73,3.26,,,,2.37,
31.23,29.51,47.32,44.02,,,,,,,32.77,31.05,1.72,47,43.7,3.3,,,,2.41,
31.28,29.54,47.37,44.04,,,,,,,32.82,31.08,1.74,47.05,43.72,3.33,,,,2.44,
31.28,29.52,47.44,44.17,,,,,,,32.82,31.06,1.76,47.12,43.85,3.27,,,,2.38,
31.29,29.48,47.46,44.26,,,,,,,32.83,31.02,1.81,47.14,43.94,3.2,,,,2.31,
31.31,29.52,47.51,44.35,,,,,,,32.85,31.06,1.79,47.19,44.03,3.16,,,,2.27,
31.34,29.59,47.56,44.38,,,,,,,32.88,31.13,1.75,47.24,44.06,3.18,,,,2.29,
31.37,29.62,47.58,44.49,,,,,,,32.91,31.16,1.75,47.26,44.17,3.09,,,,2.2,
31.38,29.69,47.66,44.43,,,,,,,32.92,31.23,1.69,47.34,44.11,3.23,,,,2.34,
31.38,29.78,47.69,44.49,,,,,,,32.92,31.32,1.6,47.37,44.17,3.2,,,,2.31,
31.4,29.85,47.7,44.54,,,,,,,32.94,31.39,1.55,47.38,44.22,3.16,,,,2.27,
31.45,29.88,47.77,44.61,,,,,,,32.99,31.42,1.57,47.45,44.29,3.16,,,,2.27,
31.47,29.88,47.82,44.53,,,,,,,33.01,31.42,1.59,47.5,44.21,3.29,,,,2.4,
31.47,29.97,47.82,44.61,,,,,,,33.01,31.51,1.5,47.5,44.29,3.21,,,,2.32,
31.48,30.07,47.9,44.59,,,,,,,33.02,31.61,1.41,47.58,44.27,3.31,,,,2.42,
31.52,30.07,47.94,44.61,,,,,,,33.06,31.61,1.45,47.62,44.29,3.33,,,,2.44,
31.56,30.07,47.95,44.73,,,,,,,33.1,31.61,1.49,47.63,44.41,3.22,,,,2.33,
31.56,30.07,48.03,44.85,,,,,,,33.1,31.61,1.49,47.71,44.53,3.18,,,,2.29,
31.57,30.07,48.07,44.98,,,,,,,33.11,31.61,1.5,47.75,44.66,3.09,,,,2.2,
31.61,30.13,48.07,44.99,,,,,,,33.15,31.67,1.48,47.75,44.67,3.08,,,,2.19,
31.64,30.16,48.17,44.98,,,,,,,33.18,31.7,1.48,47.85,44.66,3.19,,,,2.3,
31.65,30.16,48.19,44.98,,,,,,,33.19,31.7,1.49,47.87,44.66,3.21,,,,2.32,
31.66,30.2,48.22,45.1,,,,,,,33.2,31.74,1.46,47.9,44.78,3.12,,,,2.23,
31.67,30.25,48.3,45.1,,,,,,,33.21,31.79,1.42,47.98,44.78,3.2,,,,2.31,
31.71,30.34,48.32,45.19,,,,,,,33.25,31.88,1.37,48,44.87,3.13,,,,2.24,
31.74,30.33,48.35,45.24,,,,,,,33.28,31.87,1.41,48.03,44.92,3.11,,,,2.22,
31.75,30.26,48.43,45.23,,,,,,,33.29,31.8,1.49,48.11,44.91,3.2,,,,2.31,
31.76,30.24,48.45,45.34,,,,,,,33.3,31.78,1.52,48.13,45.02,3.11,,,,2.22,
31.78,30.25,48.48,45.34,,,,,,,33.32,31.79,1.53,48.16,45.02,3.14,,,,2.25,
31.83,30.26,48.56,45.46,,,,,,,33.37,31.8,1.57,48.24,45.14,3.1,,,,2.21,
31.84,30.26,48.58,45.58,,,,,,,33.38,31.8,1.58,48.26,45.26,3,,,,2.11,
31.85,30.33,48.61,45.68,,,,,,,33.39,31.87,1.52,48.29,45.36,2.93,,,,2.04,
31.87,30.29,48.69,45.74,,,,,,,33.41,31.83,1.58,48.37,45.42,2.95,,,,2.06,
31.91,30.16,48.71,45.83,,,,,,,33.45,31.7,1.75,48.39,45.51,2.88,,,,1.99,
31.93,30.07,48.73,45.71,,,,,,,33.47,31.61,1.86,48.41,45.39,3.02,,,,2.13,
31.94,30.07,48.82,45.59,,,,,,,33.48,31.61,1.87,48.5,45.27,3.23,,,,2.34,
31.95,30.09,48.84,45.59,,,,,,,33.49,31.63,1.86,48.52,45.27,3.25,,,,2.36,
31.96,30.15,48.87,45.6,,,,,,,33.5,31.69,1.81,48.55,45.28,3.27,,,,2.38,
32.02,30.16,48.95,45.71,,,,,,,33.56,31.7,1.86,48.63,45.39,3.24,,,,2.35,
32.03,30.23,48.97,45.71,,,,,,,33.57,31.77,1.8,48.65,45.39,3.26,,,,2.37,
32.04,30.26,49,45.68,,,,,,,33.58,31.8,1.78,48.68,45.36,3.32,,,,2.43,
32.04,30.35,49,45.62,,,,,,,33.58,31.89,1.69,48.68,45.3,3.38,,,,2.49,
32.04,30.35,49.09,45.48,,,,,,,33.58,31.89,1.69,48.77,45.16,3.61,,,,2.72,
32.06,30.26,49.1,45.34,,,,,,,33.6,31.8,1.8,48.78,45.02,3.76,,,,2.87,
32.1,30.29,49.14,45.44,,,,,,,33.64,31.83,1.81,48.82,45.12,3.7,,,,2.81,
32.13,30.35,49.2,45.35,,,,,,,33.67,31.89,1.78,48.88,45.03,3.85,,,,2.96,
32.13,30.35,49.23,45.49,,,,,,,33.67,31.89,1.78,48.91,45.17,3.74,,,,2.85,
32.14,30.44,49.27,45.64,,,,,,,33.68,31.98,1.7,48.95,45.32,3.63,,,,2.74,
32.17,30.45,49.35,45.79,,,,,,,33.71,31.99,1.72,49.03,45.47,3.56,,,,2.67,
32.22,30.5,49.36,45.83,,,,,,,33.76,32.04,1.72,49.04,45.51,3.53,,,,2.64,
32.22,30.54,49.4,45.8,,,,,,,33.76,32.08,1.68,49.08,45.48,3.6,,,,2.71,
32.22,30.55,49.47,45.96,,,,,,,33.76,32.09,1.67,49.15,45.64,3.51,,,,2.62,
32.23,30.63,49.49,46.08,,,,,,,33.77,32.17,1.6,49.17,45.76,3.41,,,,2.52,
32.28,30.72,49.52,46.24,,,,,,,33.82,32.26,1.56,49.2,45.92,3.28,,,,2.39,
32.31,30.68,49.61,46.33,,,,,,,33.85,32.22,1.63,49.29,46.01,3.28,,,,2.39,
32.32,30.63,49.62,46.44,,,,,,,33.86,32.17,1.69,49.3,46.12,3.18,,,,2.29,
32.32,30.59,49.66,46.55,,,,,,,33.86,32.13,1.73,49.34,46.23,3.11,,,,2.22,
32.34,30.59,49.74,46.58,,,,,,,33.88,32.13,1.75,49.42,46.26,3.16,,,,2.27,
32.38,30.62,49.75,46.6,,,,,,,33.92,32.16,1.76,49.43,46.28,3.15,,,,2.26,
32.4,30.58,49.77,46.68,,,,,,,33.94,32.12,1.82,49.45,46.36,3.09,,,,2.2,
32.41,30.58,49.86,46.69,,,,,,,33.95,32.12,1.83,49.54,46.37,3.17,,,,2.28,
32.41,30.56,49.89,46.7,,,,,,,33.95,32.1,1.85,49.57,46.38,3.19,,,,2.3,
