8-Jun, 2022   14:16:24,,,,,,,,,,
-0.074,-2.08E-06,-2.50E-06,-2.56E-06,-2.35E-06,-2.74E-06,-2.83E-06,-1.96E-06,-1.64E-06,-2.86E-06,-2.97E-06,-2.45E-06
-0.07,-2.12E-06,-2.51E-06,-2.58E-06,-2.36E-06,-2.77E-06,-2.88E-06,-2.02E-06,-1.64E-06,-2.89E-06,-3.03E-06,-2.48E-06
-0.066,-2.15E-06,-2.53E-06,-2.60E-06,-2.38E-06,-2.80E-06,-2.94E-06,-2.08E-06,-1.64E-06,-2.93E-06,-3.10E-06,-2.51E-06
-0.062,-2.20E-06,-2.55E-06,-2.62E-06,-2.41E-06,-2.83E-06,-3.00E-06,-2.14E-06,-1.65E-06,-2.97E-06,-3.17E-06,-2.55E-06
-0.058,-2.26E-06,-2.57E-06,-2.64E-06,-2.44E-06,-2.86E-06,-3.07E-06,-2.21E-06,-1.67E-06,-3.02E-06,-3.24E-06,-2.60E-06
-0.054,-2.34E-06,-2.61E-06,-2.68E-06,-2.49E-06,-2.91E-06,-3.14E-06,-2.30E-06,-1.70E-06,-3.10E-06,-3.33E-06,-2.66E-06
-0.05,-2.43E-06,-2.66E-06,-2.75E-06,-2.57E-06,-2.98E-06,-3.24E-06,-2.41E-06,-1.72E-06,-3.18E-06,-3.43E-06,-2.74E-06
-0.046,-2.54E-06,-2.73E-06,-2.82E-06,-2.65E-06,-3.06E-06,-3.36E-06,-2.52E-06,-1.76E-06,-3.27E-06,-3.56E-06,-2.82E-06
-0.042,-2.64E-06,-2.80E-06,-2.90E-06,-2.73E-06,-3.15E-06,-3.49E-06,-2.63E-06,-1.80E-06,-3.38E-06,-3.69E-06,-2.92E-06
-0.038,-2.76E-06,-2.88E-06,-2.99E-06,-2.83E-06,-3.24E-06,-3.63E-06,-2.75E-06,-1.85E-06,-3.49E-06,-3.84E-06,-3.03E-06
-0.034,-2.88E-06,-2.96E-06,-3.07E-06,-2.93E-06,-3.34E-06,-3.79E-06,-2.88E-06,-1.91E-06,-3.61E-06,-3.99E-06,-3.14E-06
-0.03,-3.02E-06,-3.05E-06,-3.17E-06,-3.03E-06,-3.45E-06,-3.97E-06,-3.03E-06,-1.97E-06,-3.73E-06,-4.17E-06,-3.26E-06
-0.026,-3.16E-06,-3.14E-06,-3.27E-06,-3.15E-06,-3.56E-06,-4.16E-06,-3.20E-06,-2.04E-06,-3.88E-06,-4.36E-06,-3.39E-06
-0.022,-3.32E-06,-3.25E-06,-3.39E-06,-3.29E-06,-3.68E-06,-4.36E-06,-3.38E-06,-2.11E-06,-4.04E-06,-4.57E-06,-3.54E-06
-0.018,-3.49E-06,-3.36E-06,-3.52E-06,-3.43E-06,-3.81E-06,-4.58E-06,-3.58E-06,-2.20E-06,-4.19E-06,-4.78E-06,-3.69E-06
-0.014,-3.67E-06,-3.48E-06,-3.64E-06,-3.58E-06,-3.95E-06,-4.82E-06,-3.79E-06,-2.28E-06,-4.36E-06,-5.02E-06,-3.86E-06
-0.01,-3.87E-06,-3.59E-06,-3.77E-06,-3.75E-06,-4.09E-06,-5.08E-06,-4.01E-06,-2.37E-06,-4.52E-06,-5.27E-06,-4.03E-06
-0.006,-4.08E-06,-3.72E-06,-3.91E-06,-3.92E-06,-4.24E-06,-5.37E-06,-4.24E-06,-2.48E-06,-4.69E-06,-5.54E-06,-4.22E-06
-0.002,-4.31E-06,-3.85E-06,-4.04E-06,-4.10E-06,-4.40E-06,-5.66E-06,-4.46E-06,-2.59E-06,-4.89E-06,-5.82E-06,-4.41E-06
0.002,-4.56E-06,-3.99E-06,-4.18E-06,-4.29E-06,-4.56E-06,-5.97E-06,-4.68E-06,-2.71E-06,-5.10E-06,-6.11E-06,-4.62E-06
0.006,-4.82E-06,-4.15E-06,-4.33E-06,-4.49E-06,-4.73E-06,-6.28E-06,-4.89E-06,-2.83E-06,-5.31E-06,-6.40E-06,-4.82E-06
0.01,-5.08E-06,-4.32E-06,-4.49E-06,-4.71E-06,-4.91E-06,-6.60E-06,-5.09E-06,-2.96E-06,-5.52E-06,-6.71E-06,-5.04E-06
0.014,-5.36E-06,-4.48E-06,-4.64E-06,-4.94E-06,-5.09E-06,-6.93E-06,-5.29E-06,-3.08E-06,-5.74E-06,-7.03E-06,-5.26E-06
0.018,-5.64E-06,-4.65E-06,-4.80E-06,-5.17E-06,-5.27E-06,-7.27E-06,-5.48E-06,-3.21E-06,-5.97E-06,-7.36E-06,-5.48E-06
0.022,-5.92E-06,-4.81E-06,-4.95E-06,-5.40E-06,-5.45E-06,-7.61E-06,-5.68E-06,-3.33E-06,-6.19E-06,-7.69E-06,-5.70E-06
0.026,-6.18E-06,-4.97E-06,-5.09E-06,-5.63E-06,-5.60E-06,-7.94E-06,-5.89E-06,-3.45E-06,-6.40E-06,-8.01E-06,-5.92E-06
0.03,-6.44E-06,-5.12E-06,-5.22E-06,-5.86E-06,-5.76E-06,-8.26E-06,-6.10E-06,-3.55E-06,-6.60E-06,-8.32E-06,-6.12E-06
0.034,-6.68E-06,-5.27E-06,-5.33E-06,-6.08E-06,-5.90E-06,-8.57E-06,-6.32E-06,-3.65E-06,-6.78E-06,-8.61E-06,-6.32E-06
0.038,-6.92E-06,-5.40E-06,-5.43E-06,-6.28E-06,-6.03E-06,-8.87E-06,-6.58E-06,-3.75E-06,-6.94E-06,-8.88E-06,-6.51E-06
0.042,-7.15E-06,-5.53E-06,-5.52E-06,-6.47E-06,-6.16E-06,-9.16E-06,-6.86E-06,-3.84E-06,-7.10E-06,-9.13E-06,-6.69E-06
0.046,-7.35E-06,-5.64E-06,-5.60E-06,-6.65E-06,-6.27E-06,-9.42E-06,-7.16E-06,-3.94E-06,-7.23E-06,-9.37E-06,-6.86E-06
0.05,-7.55E-06,-5.74E-06,-5.66E-06,-6.81E-06,-6.37E-06,-9.67E-06,-7.48E-06,-4.02E-06,-7.36E-06,-9.57E-06,-7.02E-06
0.054,-7.73E-06,-5.82E-06,-5.72E-06,-6.96E-06,-6.46E-06,-9.89E-06,-7.79E-06,-4.09E-06,-7.48E-06,-9.75E-06,-7.17E-06
0.058,-7.90E-06,-5.89E-06,-5.76E-06,-7.10E-06,-6.53E-06,-1.01E-05,-8.07E-06,-4.16E-06,-7.58E-06,-9.89E-06,-7.30E-06
0.062,-8.04E-06,-5.95E-06,-5.80E-06,-7.22E-06,-6.58E-06,-1.03E-05,-8.34E-06,-4.21E-06,-7.67E-06,-1.00E-05,-7.41E-06
0.066,-8.14E-06,-6.00E-06,-5.83E-06,-7.30E-06,-6.63E-06,-1.04E-05,-8.60E-06,-4.26E-06,-7.75E-06,-1.01E-05,-7.50E-06
0.07,-8.20E-06,-6.03E-06,-5.84E-06,-7.37E-06,-6.66E-06,-1.04E-05,-8.82E-06,-4.29E-06,-7.80E-06,-1.01E-05,-7.56E-06
0.074,-8.23E-06,-6.05E-06,-5.85E-06,-7.40E-06,-6.68E-06,-1.05E-05,-9.03E-06,-4.32E-06,-7.82E-06,-1.01E-05,-7.60E-06
0.078,-8.24E-06,-6.05E-06,-5.85E-06,-7.39E-06,-6.69E-06,-1.04E-05,-9.22E-06,-4.33E-06,-7.82E-06,-1.01E-05,-7.62E-06
0.082,-8.22E-06,-6.05E-06,-5.84E-06,-7.36E-06,-6.68E-06,-1.04E-05,-9.38E-06,-4.34E-06,-7.79E-06,-1.01E-05,-7.61E-06
0.086,-8.17E-06,-6.04E-06,-5.83E-06,-7.31E-06,-6.66E-06,-1.03E-05,-9.50E-06,-4.33E-06,-7.75E-06,-9.98E-06,-7.58E-06
0.09,-8.10E-06,-6.02E-06,-5.81E-06,-7.23E-06,-6.62E-06,-1.01E-05,-9.59E-06,-4.32E-06,-7.69E-06,-9.86E-06,-7.54E-06
0.094,-8.00E-06,-6.00E-06,-5.78E-06,-7.13E-06,-6.56E-06,-9.97E-06,-9.62E-06,-4.29E-06,-7.61E-06,-9.70E-06,-7.47E-06
0.098,-7.88E-06,-5.96E-06,-5.76E-06,-7.02E-06,-6.50E-06,-9.79E-06,-9.60E-06,-4.26E-06,-7.51E-06,-9.53E-06,-7.38E-06
0.102,-7.75E-06,-5.91E-06,-5.73E-06,-6.89E-06,-6.42E-06,-9.60E-06,-9.55E-06,-4.21E-06,-7.40E-06,-9.32E-06,-7.28E-06
0.106,-7.59E-06,-5.85E-06,-5.69E-06,-6.74E-06,-6.34E-06,-9.37E-06,-9.50E-06,-4.16E-06,-7.28E-06,-9.09E-06,-7.16E-06
0.11,-7.42E-06,-5.79E-06,-5.64E-06,-6.58E-06,-6.24E-06,-9.13E-06,-9.46E-06,-4.09E-06,-7.14E-06,-8.84E-06,-7.03E-06
0.114,-7.24E-06,-5.72E-06,-5.59E-06,-6.41E-06,-6.14E-06,-8.86E-06,-9.42E-06,-4.03E-06,-6.99E-06,-8.57E-06,-6.90E-06
0.118,-7.05E-06,-5.65E-06,-5.55E-06,-6.23E-06,-6.03E-06,-8.58E-06,-9.35E-06,-3.95E-06,-6.82E-06,-8.28E-06,-6.75E-06
0.122,-6.85E-06,-5.58E-06,-5.50E-06,-6.04E-06,-5.92E-06,-8.28E-06,-9.22E-06,-3.87E-06,-6.65E-06,-7.99E-06,-6.59E-06
0.126,-6.65E-06,-5.50E-06,-5.45E-06,-5.85E-06,-5.80E-06,-7.97E-06,-9.05E-06,-3.78E-06,-6.47E-06,-7.69E-06,-6.42E-06
0.13,-6.44E-06,-5.43E-06,-5.40E-06,-5.65E-06,-5.68E-06,-7.64E-06,-8.86E-06,-3.68E-06,-6.29E-06,-7.37E-06,-6.25E-06
0.134,-6.24E-06,-5.34E-06,-5.35E-06,-5.45E-06,-5.55E-06,-7.32E-06,-8.66E-06,-3.58E-06,-6.10E-06,-7.05E-06,-6.06E-06
0.138,-6.03E-06,-5.25E-06,-5.29E-06,-5.24E-06,-5.43E-06,-6.98E-06,-8.44E-06,-3.48E-06,-5.91E-06,-6.74E-06,-5.88E-06
0.142,-5.83E-06,-5.15E-06,-5.22E-06,-5.03E-06,-5.30E-06,-6.64E-06,-8.22E-06,-3.36E-06,-5.71E-06,-6.43E-06,-5.69E-06
0.146,-5.63E-06,-5.05E-06,-5.15E-06,-4.81E-06,-5.19E-06,-6.31E-06,-8.00E-06,-3.25E-06,-5.50E-06,-6.13E-06,-5.50E-06
0.15,-5.43E-06,-4.95E-06,-5.09E-06,-4.60E-06,-5.07E-06,-5.98E-06,-7.76E-06,-3.13E-06,-5.29E-06,-5.83E-06,-5.31E-06
0.154,-5.23E-06,-4.84E-06,-5.01E-06,-4.39E-06,-4.95E-06,-5.67E-06,-7.54E-06,-3.03E-06,-5.08E-06,-5.55E-06,-5.13E-06
0.158,-5.04E-06,-4.73E-06,-4.94E-06,-4.19E-06,-4.80E-06,-5.37E-06,-7.31E-06,-2.92E-06,-4.89E-06,-5.27E-06,-4.94E-06
0.162,-4.85E-06,-4.62E-06,-4.85E-06,-3.99E-06,-4.65E-06,-5.07E-06,-7.10E-06,-2.82E-06,-4.69E-06,-5.01E-06,-4.76E-06
0.166,-4.68E-06,-4.49E-06,-4.76E-06,-3.80E-06,-4.50E-06,-4.78E-06,-6.88E-06,-2.70E-06,-4.48E-06,-4.76E-06,-4.58E-06
0.17,-4.51E-06,-4.36E-06,-4.66E-06,-3.60E-06,-4.35E-06,-4.50E-06,-6.67E-06,-2.60E-06,-4.28E-06,-4.51E-06,-4.40E-06
0.174,-4.35E-06,-4.23E-06,-4.55E-06,-3.43E-06,-4.20E-06,-4.23E-06,-6.47E-06,-2.48E-06,-4.07E-06,-4.27E-06,-4.23E-06
0.178,-4.19E-06,-4.10E-06,-4.43E-06,-3.26E-06,-4.05E-06,-3.97E-06,-6.28E-06,-2.38E-06,-3.88E-06,-4.04E-06,-4.06E-06
0.182,-4.04E-06,-3.96E-06,-4.30E-06,-3.10E-06,-3.89E-06,-3.73E-06,-6.09E-06,-2.27E-06,-3.68E-06,-3.81E-06,-3.89E-06
0.186,-3.88E-06,-3.82E-06,-4.16E-06,-2.95E-06,-3.74E-06,-3.49E-06,-5.93E-06,-2.16E-06,-3.49E-06,-3.59E-06,-3.72E-06
0.19,-3.72E-06,-3.67E-06,-4.02E-06,-2.81E-06,-3.58E-06,-3.26E-06,-5.75E-06,-2.06E-06,-3.30E-06,-3.38E-06,-3.55E-06
0.194,-3.57E-06,-3.52E-06,-3.88E-06,-2.66E-06,-3.42E-06,-3.04E-06,-5.59E-06,-1.96E-06,-3.11E-06,-3.18E-06,-3.39E-06
0.198,-3.42E-06,-3.37E-06,-3.73E-06,-2.52E-06,-3.26E-06,-2.84E-06,-5.43E-06,-1.87E-06,-2.93E-06,-3.00E-06,-3.24E-06
0.202,-3.28E-06,-3.22E-06,-3.58E-06,-2.39E-06,-3.11E-06,-2.66E-06,-5.27E-06,-1.79E-06,-2.76E-06,-2.82E-06,-3.09E-06
0.206,-3.14E-06,-3.07E-06,-3.42E-06,-2.26E-06,-2.96E-06,-2.48E-06,-5.11E-06,-1.70E-06,-2.60E-06,-2.66E-06,-2.94E-06
0.21,-2.99E-06,-2.93E-06,-3.25E-06,-2.13E-06,-2.81E-06,-2.31E-06,-4.97E-06,-1.62E-06,-2.45E-06,-2.50E-06,-2.80E-06
0.214,-2.85E-06,-2.78E-06,-3.09E-06,-2.03E-06,-2.67E-06,-2.15E-06,-4.82E-06,-1.54E-06,-2.31E-06,-2.34E-06,-2.66E-06
0.218,-2.71E-06,-2.64E-06,-2.94E-06,-1.93E-06,-2.54E-06,-2.00E-06,-4.69E-06,-1.47E-06,-2.17E-06,-2.20E-06,-2.53E-06
0.222,-2.58E-06,-2.50E-06,-2.79E-06,-1.83E-06,-2.41E-06,-1.87E-06,-4.56E-06,-1.41E-06,-2.04E-06,-2.07E-06,-2.41E-06
0.226,-2.46E-06,-2.36E-06,-2.63E-06,-1.74E-06,-2.29E-06,-1.74E-06,-4.43E-06,-1.35E-06,-1.92E-06,-1.94E-06,-2.29E-06
0.23,-2.35E-06,-2.24E-06,-2.49E-06,-1.65E-06,-2.16E-06,-1.63E-06,-4.29E-06,-1.30E-06,-1.81E-06,-1.83E-06,-2.17E-06
0.234,-2.23E-06,-2.12E-06,-2.34E-06,-1.57E-06,-2.05E-06,-1.52E-06,-4.15E-06,-1.26E-06,-1.71E-06,-1.72E-06,-2.07E-06
0.238,-2.11E-06,-2.01E-06,-2.21E-06,-1.49E-06,-1.93E-06,-1.42E-06,-4.02E-06,-1.20E-06,-1.61E-06,-1.62E-06,-1.96E-06
0.242,-1.99E-06,-1.91E-06,-2.08E-06,-1.43E-06,-1.83E-06,-1.32E-06,-3.88E-06,-1.17E-06,-1.51E-06,-1.53E-06,-1.86E-06
0.246,-1.88E-06,-1.81E-06,-1.97E-06,-1.37E-06,-1.74E-06,-1.24E-06,-3.74E-06,-1.13E-06,-1.43E-06,-1.44E-06,-1.77E-06
0.25,-1.78E-06,-1.71E-06,-1.86E-06,-1.30E-06,-1.66E-06,-1.16E-06,-3.60E-06,-1.10E-06,-1.35E-06,-1.36E-06,-1.69E-06
0.254,-1.68E-06,-1.62E-06,-1.76E-06,-1.24E-06,-1.57E-06,-1.09E-06,-3.45E-06,-1.07E-06,-1.28E-06,-1.29E-06,-1.61E-06
0.258,-1.59E-06,-1.53E-06,-1.67E-06,-1.19E-06,-1.50E-06,-1.03E-06,-3.32E-06,-1.04E-06,-1.22E-06,-1.22E-06,-1.53E-06
0.262,-1.51E-06,-1.45E-06,-1.58E-06,-1.15E-06,-1.42E-06,-9.79E-07,-3.17E-06,-1.01E-06,-1.16E-06,-1.16E-06,-1.46E-06
0.266,-1.43E-06,-1.38E-06,-1.49E-06,-1.10E-06,-1.36E-06,-9.29E-07,-3.03E-06,-9.91E-07,-1.11E-06,-1.11E-06,-1.39E-06
0.27,-1.35E-06,-1.31E-06,-1.41E-06,-1.06E-06,-1.29E-06,-8.87E-07,-2.88E-06,-9.70E-07,-1.05E-06,-1.06E-06,-1.33E-06
0.274,-1.28E-06,-1.25E-06,-1.34E-06,-1.02E-06,-1.23E-06,-8.43E-07,-2.75E-06,-9.47E-07,-1.01E-06,-1.01E-06,-1.27E-06
0.278,-1.22E-06,-1.19E-06,-1.27E-06,-9.86E-07,-1.18E-06,-8.10E-07,-2.61E-06,-9.30E-07,-9.66E-07,-9.71E-07,-1.21E-06
0.282,-1.16E-06,-1.13E-06,-1.21E-06,-9.53E-07,-1.13E-06,-7.74E-07,-2.49E-06,-9.09E-07,-9.35E-07,-9.30E-07,-1.16E-06
0.286,-1.10E-06,-1.09E-06,-1.16E-06,-9.30E-07,-1.09E-06,-7.49E-07,-2.37E-06,-8.90E-07,-8.99E-07,-9.01E-07,-1.12E-06
0.29,-1.05E-06,-1.04E-06,-1.11E-06,-9.03E-07,-1.05E-06,-7.26E-07,-2.25E-06,-8.71E-07,-8.73E-07,-8.72E-07,-1.07E-06
0.294,-1.00E-06,-1.01E-06,-1.08E-06,-8.80E-07,-1.01E-06,-7.06E-07,-2.12E-06,-8.53E-07,-8.46E-07,-8.50E-07,-1.03E-06
0.298,-9.55E-07,-9.67E-07,-1.04E-06,-8.55E-07,-9.82E-07,-6.83E-07,-2.01E-06,-8.35E-07,-8.29E-07,-8.30E-07,-9.99E-07
0.302,-9.15E-07,-9.35E-07,-1.01E-06,-8.35E-07,-9.57E-07,-6.64E-07,-1.90E-06,-8.24E-07,-8.11E-07,-8.12E-07,-9.66E-07
0.306,-8.79E-07,-9.06E-07,-9.76E-07,-8.13E-07,-9.30E-07,-6.48E-07,-1.80E-06,-8.13E-07,-7.99E-07,-7.86E-07,-9.34E-07
0.31,-8.49E-07,-8.87E-07,-9.53E-07,-7.96E-07,-9.05E-07,-6.37E-07,-1.70E-06,-8.03E-07,-7.84E-07,-7.63E-07,-9.08E-07
0.314,-8.24E-07,-8.70E-07,-9.27E-07,-7.81E-07,-8.86E-07,-6.28E-07,-1.62E-06,-7.91E-07,-7.70E-07,-7.42E-07,-8.84E-07
0.318,-7.99E-07,-8.58E-07,-9.09E-07,-7.69E-07,-8.66E-07,-6.22E-07,-1.54E-06,-7.75E-07,-7.62E-07,-7.31E-07,-8.63E-07
0.322,-7.78E-07,-8.38E-07,-8.91E-07,-7.59E-07,-8.50E-07,-6.19E-07,-1.47E-06,-7.65E-07,-7.55E-07,-7.27E-07,-8.45E-07
0.326,-7.61E-07,-8.18E-07,-8.77E-07,-7.53E-07,-8.34E-07,-6.15E-07,-1.41E-06,-7.56E-07,-7.48E-07,-7.30E-07,-8.30E-07
0.33,-7.39E-07,-8.04E-07,-8.68E-07,-7.46E-07,-8.21E-07,-6.22E-07,-1.35E-06,-7.48E-07,-7.47E-07,-7.26E-07,-8.17E-07
0.334,-7.23E-07,-7.96E-07,-8.60E-07,-7.40E-07,-8.08E-07,-6.19E-07,-1.30E-06,-7.42E-07,-7.35E-07,-7.19E-07,-8.04E-07
0.338,-7.09E-07,-7.92E-07,-8.50E-07,-7.28E-07,-8.07E-07,-6.14E-07,-1.26E-06,-7.35E-07,-7.32E-07,-7.17E-07,-7.95E-07
0.342,-6.99E-07,-7.86E-07,-8.46E-07,-7.23E-07,-7.98E-07,-6.09E-07,-1.22E-06,-7.27E-07,-7.30E-07,-7.15E-07,-7.86E-07
0.346,-6.92E-07,-7.81E-07,-8.43E-07,-7.19E-07,-7.86E-07,-6.04E-07,-1.19E-06,-7.19E-07,-7.31E-07,-7.14E-07,-7.78E-07
0.35,-6.87E-07,-7.77E-07,-8.43E-07,-7.17E-07,-7.73E-07,-5.96E-07,-1.16E-06,-7.10E-07,-7.34E-07,-7.14E-07,-7.71E-07
